codigo_del_sitio,tipo_de_mueble,tipo_de_anuncio,disponible,estado,municipio,zm,nivel_socioeconomico_ab,nivel_socioeconomico_c_mas,nivel_socioeconomico_c,nivel_socioeconomico_d,nivel_socioeconomico_e,nivel_socioeconomico_d_mas,cero_catorce,quince_diecinueve,veinte_veinticuatro,veinticinco_treintaycuatro,treintaycinco_cuarentaycuatro,cuarentaycinco_sesentaycuatro,sesentaycinco_mas,per_muj,per_hom,frecuencia_catorcenal,frecuencia_mensual,exposicion_promedio_catorcenal,impactos_catorcenal,alcance_vehiculos_catorcenal,id_fourteen,mes,impactos_mensuales,alcance_mensual,impactos_mensuales_prom_min_max,alcance_mensuales_prom_min_max,name,fecha_uso_inicio,fecha_uso_fin
PRUEBA-MEX-054,Pantalla Digital,Digital,Sí,Ciudad de Mexico,Cuauhtemoc,Valle de Mexico,0.133804068,0.2958641052,0.2390874624,0.06431829184,0.005943683907,0.2609823644,0.1478818467,0.05184635674,0.06469434511,0.1963698462,0.1831836973,0.2464852435,0.1095386644,0.4755946994,0.5244053006,16.77665329,21.80134392,23.56007576,1483482,88425.38344,2024-26,2024-12,3023538,138685.8594,3023538,138685.8594,campania_10,2024-10-01,2024-12-31
PRUEBA-MEX-059,Pantalla Digital,Digital,Sí,Ciudad de Mexico,Benito Juarez,Valle de Mexico,0.2110297084,0.3097261786,0.191160962,0.0550397113,0.003421672853,0.2296217531,0.1465795684,0.05422026403,0.06664867782,0.1774331258,0.1721009094,0.2581030358,0.1249144187,0.481248498,0.518751502,9.513913155,12.36337662,23.49625587,1436218,150959.7551,2024-21,2024-10,2762690,223457.5625,2762690,223457.5625,campania_10,2024-10-01,2024-12-31
PRUEBA-MEX083,Pantalla Digital,Digital,Sí,Mexico,Naucalpan de Juarez,Valle de Mexico,0.200044021,0.2075299025,0.1114707217,0.1821323484,0.01321284659,0.2856101394,0.1675672176,0.06664243064,0.07342768783,0.1457772045,0.1514320005,0.2646250305,0.1305284284,0.454896152,0.545103848,13.71188736,17.81866646,20.1785717,2364012,172406.0254,2024-22,2024-10,4970854,278968.9063,4970854,278968.9063,campania_10,2024-10-01,2024-12-31
PRUEBA-MEX-059,Pantalla Digital,Digital,Sí,Ciudad de Mexico,Benito Juarez,Valle de Mexico,0.2110297084,0.3097261786,0.191160962,0.0550397113,0.003421672853,0.2296217531,0.1465795684,0.05422026403,0.06664867782,0.1774331258,0.1721009094,0.2581030358,0.1249144187,0.481248498,0.518751502,9.513913155,12.36337662,23.49625587,1470210,154532.6278,2024-26,2024-12,2874970,232539.2188,2874970,232539.2188,campania_10,2024-10-01,2024-12-31
PRUEBA-011-00134-2,Espectacular o Cartelera,Tradicional,Sí,Sonora,Hermosillo,Hermosillo,0.358818531,0.3290413916,0.1153507903,0.04874736443,0.01007321011,0.137968719,0.206600248,0.08119804934,0.08652299236,0.1554456026,0.1477242258,0.2312516758,0.09125720606,0.4364355505,0.5635644197,17.31183052,22.49681091,29.26324844,761936,44012.44566,2025-16,,,,1729560,76880.22656,campania_9,2025-07-01,2025-12-31
PRUEBA-MEX-054,Pantalla Digital,Digital,Sí,Ciudad de Mexico,Cuauhtemoc,Valle de Mexico,0.133804068,0.2958641052,0.2390874624,0.06431829184,0.005943683907,0.2609823644,0.1478818467,0.05184635674,0.06469434511,0.1963698462,0.1831836973,0.2464852435,0.1095386644,0.4755946994,0.5244053006,16.77665329,21.80134392,23.56007576,1540056,91797.56972,2024-25,2024-12,3023538,138685.8594,3023538,138685.8594,campania_10,2024-10-01,2024-12-31
PRUEBA-MEX-059,Pantalla Digital,Digital,Sí,Ciudad de Mexico,Benito Juarez,Valle de Mexico,0.2110297084,0.3097261786,0.191160962,0.0550397113,0.003421672853,0.2296217531,0.1465795684,0.05422026403,0.06664867782,0.1774331258,0.1721009094,0.2581030358,0.1249144187,0.481248498,0.518751502,9.513913155,12.36337662,23.49625587,1404760,147653.2292,2024-25,2024-12,2874970,232539.2188,2874970,232539.2188,campania_10,2024-10-01,2024-12-31
PRUEBA-MEX083,Pantalla Digital,Digital,Sí,Mexico,Naucalpan de Juarez,Valle de Mexico,0.200044021,0.2075299025,0.1114707217,0.1821323484,0.01321284659,0.2856101394,0.1675672176,0.06664243064,0.07342768783,0.1457772045,0.1514320005,0.2646250305,0.1305284284,0.454896152,0.545103848,13.71188736,17.81866646,20.1785717,2629102,191738.8855,2024-25,2024-12,5605810,314603.2188,5605810,314603.2188,campania_10,2024-10-01,2024-12-31
PRUEBA-MEX-059,Pantalla Digital,Digital,Sí,Ciudad de Mexico,Benito Juarez,Valle de Mexico,0.2110297084,0.3097261786,0.191160962,0.0550397113,0.003421672853,0.2296217531,0.1465795684,0.05422026403,0.06664867782,0.1774331258,0.1721009094,0.2581030358,0.1249144187,0.481248498,0.518751502,9.513913155,12.36337662,23.49625587,1478946,155450.8619,2024-24,2024-11,2485462,201034.2344,2485462,201034.2344,campania_10,2024-10-01,2024-12-31
PRUEBA-MEX083,Pantalla Digital,Digital,Sí,Mexico,Naucalpan de Juarez,Valle de Mexico,0.200044021,0.2075299025,0.1114707217,0.1821323484,0.01321284659,0.2856101394,0.1675672176,0.06664243064,0.07342768783,0.1457772045,0.1514320005,0.2646250305,0.1305284284,0.454896152,0.545103848,13.71188736,17.81866646,20.1785717,2976708,217089.5896,2024-26,2024-12,5605810,314603.2188,5605810,314603.2188,campania_10,2024-10-01,2024-12-31
PRUEBA-011-00134-2,Espectacular o Cartelera,Tradicional,Sí,Sonora,Hermosillo,Hermosillo,0.358818531,0.3290413916,0.1153507903,0.04874736443,0.01007321011,0.137968719,0.206600248,0.08119804934,0.08652299236,0.1554456026,0.1477242258,0.2312516758,0.09125720606,0.4364355505,0.5635644197,17.31183052,22.49681091,29.26324844,1125810,65031.25124,2025-17,2025-08,2244144,99753.875,2244144,99753.875,campania_9,2025-07-01,2025-12-31
PRUEBA-MEX-054,Pantalla Digital,Digital,Sí,Ciudad de Mexico,Cuauhtemoc,Valle de Mexico,0.133804068,0.2958641052,0.2390874624,0.06431829184,0.005943683907,0.2609823644,0.1478818467,0.05184635674,0.06469434511,0.1963698462,0.1831836973,0.2464852435,0.1095386644,0.4755946994,0.5244053006,16.77665329,21.80134392,23.56007576,1544242,92047.08313,2025-01,2025-01,3040898,139482.1406,3040898,139482.1406,campania_10,2024-10-01,2024-12-31
PRUEBA-MEX-054,Pantalla Digital,Digital,Sí,Ciudad de Mexico,Cuauhtemoc,Valle de Mexico,0.133804068,0.2958641052,0.2390874624,0.06431829184,0.005943683907,0.2609823644,0.1478818467,0.05184635674,0.06469434511,0.1963698462,0.1831836973,0.2464852435,0.1095386644,0.4755946994,0.5244053006,16.77665329,21.80134392,23.56007576,1293488,77100.47872,2024-23,2024-11,2595782,119065.2266,2595782,119065.2266,campania_10,2024-10-01,2024-12-31
